서수지IC	fnSelectNode('N171I030','서수지IC','1');
서수지TG	fnSelectNode('N171I040','서수지TG','1');
서순천IC	fnSelectNode('N025I010','서순천IC','1');
서시흥TG	fnSelectNode('N153T040','서시흥TG','1');
서안동IC	fnSelectNode('N055I110','서안동IC','1');
서안산IC	fnSelectNode('N050I040','서안산IC','1');
서안성IC	fnSelectNode('N040I050','서안성IC','1');
서양양IC	fnSelectNode('N060I110','서양양IC','1');
서여주IC	fnSelectNode('N045I260','서여주IC','1');
서영암IC	fnSelectNode('N10AI000','서영암IC','1');
서오산TG	fnSelectNode('N171T020','서오산TG','1');
서오창IC	fnSelectNode('N032I070','서오창IC','1');
서울TG	fnSelectNode('N001T460','서울TG','1');
서울산IC	fnSelectNode('N001I060','서울산IC','1');
서원주IC	fnSelectNode('N052I060','서원주IC','1');
서의성IC	fnSelectNode('N30AI080','서의성IC','1');
서이천IC	fnSelectNode('N352I100','서이천IC','1');
서인천IC	fnSelectNode('N120I030','서인천IC','1');
서전주IC	fnSelectNode('N025I250','서전주IC','1');
서종IC	fnSelectNode('N060I030','서종IC','1');
서진주IC	fnSelectNode('N351I060','서진주IC','1');
서천IC	fnSelectNode('N015I160','서천IC','1');
서청주IC	fnSelectNode('N352I010','서청주IC','1');
서초IC	fnSelectNode('N001I500','서초IC','1');
서충주IC	fnSelectNode('N040I110','서충주IC','1');
서판교IC	fnSelectNode('N171I060','서판교IC','1');
서평택IC	fnSelectNode('N015I270','서평택IC','1');
서포항IC	fnSelectNode('N20AI040','서포항IC','1');
서하남IC	fnSelectNode('N100I220','서하남IC','1');
서호학산IC	fnSelectNode('N10AI010','서호학산IC','1');
석곡IC	fnSelectNode('N025I040','석곡IC','1');
석수IC	fnSelectNode('N110I100','석수IC','1');
선산IC	fnSelectNode('N045I130','선산IC','1');
선운산IC	fnSelectNode('N015I090','선운산IC','1');
설악IC	fnSelectNode('N060I040','설악IC','1');
성남IC	fnSelectNode('N100I190','성남IC','1');
성남TG	fnSelectNode('N100T200','성남TG','1');
성서IC	fnSelectNode('N451I060','성서IC','1');
성주IC	fnSelectNode('N045I100','성주IC','1');
소양IC	fnSelectNode('N020I030','소양IC','1');
소하IC	fnSelectNode('N017I150','소하IC','1');
속리산IC	fnSelectNode('N30AI040','속리산IC','1');
속사IC	fnSelectNode('N050I280','속사IC','1');
속초IC	fnSelectNode('N065I110','속초IC','1');
