반포IC	fnSelectNode('N001I510','반포IC','2');
발안IC	fnSelectNode('N015I290','발안IC','2');
백양사IC	fnSelectNode('N025I190','백양사IC','2');
벌교IC	fnSelectNode('N10AI050','벌교IC','2');
범서IC	fnSelectNode('N652I010','범서IC','2');
별내IC	fnSelectNode('N100I320','별내IC','2');
보성IC	fnSelectNode('N10AI040','보성IC','2');
보은IC	fnSelectNode('N30AI030','보은IC','2');
봉담IC	fnSelectNode('N017I070','봉담IC','2');
봉담TG	fnSelectNode('N017T065','봉담TG','2');
부곡IC	fnSelectNode('N050I090','부곡IC','2');
부산IC	fnSelectNode('N055I000','부산IC','2');
부산TG	fnSelectNode('N001T020','부산TG','2');
부산종점	fnSelectNode('N001I000','부산종점','2');
부안IC	fnSelectNode('N015I110','부안IC','2');
부여IC	fnSelectNode('N151I030','부여IC','2');
부천IC	fnSelectNode('N120I070','부천IC','2');
부평IC	fnSelectNode('N120I040','부평IC','2');
북강릉IC	fnSelectNode('N065I060','북강릉IC','2');
북광산IC	fnSelectNode('N025I155','북광산IC','2');
북광주IC	fnSelectNode('N253I030','북광주IC','2');
북남원IC	fnSelectNode('N027I060','북남원IC','2');
북단양IC	fnSelectNode('N055I160','북단양IC','2');
북대구IC	fnSelectNode('N001I140','북대구IC','2');
북대전(EXPO)IC	fnSelectNode('N251I060','북대전(EXPO)IC','2');
북무안IC	fnSelectNode('N12AI010','북무안IC','2');
북부산TG	fnSelectNode('N010T270','북부산TG','2');
북상주IC	fnSelectNode('N045I160','북상주IC','2');
북수원IC	fnSelectNode('N050I100','북수원IC','2');
북안IC	fnSelectNode('N301I070','북안IC','2');
북양양IC	fnSelectNode('N065I100','북양양IC','2');
북여주IC	fnSelectNode('N045I270','북여주IC','2');
북영천IC	fnSelectNode('N20AI030','북영천IC','2');
북오산IC	fnSelectNode('N400I010','북오산IC','2');
북원주IC	fnSelectNode('N055I220','북원주IC','2');
북의성IC	fnSelectNode('N30AI090','북의성IC','2');
북의왕IC	fnSelectNode('N11AI120','북의왕IC','2');
북인천IC	fnSelectNode('N130I030','북인천IC','2');
북진천IC	fnSelectNode('N040I070','북진천IC','2');
북창원IC	fnSelectNode('N010I200','북창원IC','2');
북천안IC	fnSelectNode('N001I370','북천안IC','2');
북청계IC	fnSelectNode('N11AI130','북청계IC','2');
북충주IC	fnSelectNode('N045I220','북충주IC','2');
북통영IC	fnSelectNode('N351I010','북통영IC','2');
북평택TG	fnSelectNode('N017T030','북평택TG','2');
북현풍하이패스IC	fnSelectNode('N040I015','북현풍하이패스IC','2');
불암산TG	fnSelectNode('N100T310','불암산TG','2');
비봉IC	fnSelectNode('N015I300','비봉IC','2');
사천IC	fnSelectNode('N010I090','사천IC','2');
산본IC	fnSelectNode('N100I140','산본IC','2');
산월IC	fnSelectNode('N025I140','산월IC','2');
산인TG	fnSelectNode('N102T010','산인TG','2');
산청IC	fnSelectNode('N351I080','산청IC','2');
삼랑진IC	fnSelectNode('N55AI030','삼랑진IC','2');
삼례IC	fnSelectNode('N025I270','삼례IC','2');
삼막IC	fnSelectNode('N11AI110','삼막IC','2');
삼성하이패스IC	fnSelectNode('N352I065','삼성하이패스IC','2');
삼척IC	fnSelectNode('N065I990','삼척IC','2');
상관IC	fnSelectNode('N027I090','상관IC','2');
상동IC	fnSelectNode('N55AI020','상동IC','2');
상일IC	fnSelectNode('N100I240','상일IC','2');
상주IC	fnSelectNode('N045I150','상주IC','2');
새말IC	fnSelectNode('N050I240','새말IC','2');
생초IC	fnSelectNode('N351I090','생초IC','2');
서공주IC	fnSelectNode('N151I050','서공주IC','2');
서광산IC	fnSelectNode('N12AI060','서광산IC','2');
서광주IC	fnSelectNode('N025I130','서광주IC','2');
서군위IC	fnSelectNode('N301I020','서군위IC','2');
서김제IC	fnSelectNode('N015I120','서김제IC','2');
서김해IC	fnSelectNode('N010I250','서김해IC','2');
서남원IC	fnSelectNode('N027I040','서남원IC','2');
